PNR,Departure Date,Tail Number,Airport Code(Deprt.),Airport Code(Arrvl.)
A7BIPF,12/28/2017,642,BWI,ATL
A7BRMF,12/11/2017,614,RSW,BDL
A7BTTF,12/2/2017,677,MCO,EWR
A7C9MF,12/26/2017,668,DTW,CUN
A7CE3C,12/2/2017,622,BWI,TPA
A7D4QF,12/25/2017,531,RSW,CAK
A7E43C,12/21/2017,665,ACY,PBI
A7EIJS,12/3/2017,626,TPA,ORD
A7F84C,12/13/2017,617,CLE,MCO
A7FQKS,12/29/2017,504,PHX,ORD
A7LZGS,12/25/2017,677,FLL,ORD
A7NZKS,12/25/2017,606,PTY,FLL
A7PJ2P,12/9/2017,627,MYR,ACY
A7Q8NS,12/22/2017,607,FLL,MYR
A7QHHC,12/30/2017,659,CUN,DTW
A7SFSS,12/16/2017,606,TPA,BDL
A7SGTS,12/28/2017,625,MCO,BWI
A7SN3P,12/12/2017,647,MCO,CLE
A7SP3P,12/23/2017,507,MSP,ATL
A7VHGC,12/29/2017,523,SAN,BWI
A7VRUS,12/14/2017,635,CLE,LAS
A7VWFC,12/11/2017,643,CLE,ATL
A7W1NS,12/18/2017,671,BOS,FLL
A7W7NS,12/25/2017,657,EWR,IAH
A7YW3C,12/16/2017,636,TPA,DFW
A7Z58S,12/11/2017,536,GUA,FLL
A82L9P,12/11/2017,606,BWI,MCO
A83PPC,12/19/2017,613,LAS,ATL
A8547P,12/18/2017,675,IAH,MCO
A85CKC,12/24/2017,531,MSP,ATL
A85DKC,12/20/2017,647,MCO,ACY
A85E7P,12/26/2017,620,MCO,DFW
A85KHC,12/11/2017,601,LAX,DFW
A88BNC,12/16/2017,641,TPA,CLE
A8CNUC,12/29/2017,632,MCO,DTW
A8CQSC,12/2/2017,680,DEN,IAH
A8F6HP,12/10/2017,624,BWI,RSW
A8GPXC,12/3/2017,658,EWR,FLL
A8H1YC,12/29/2017,901,RSW,ORD
A8HBXC,12/15/2017,524,MSP,ORD
A8JEJP,12/26/2017,648,MCO,BOS
A8JEXC,12/28/2017,502,MCO,MSY
A8LWQP,12/20/2017,636,MCO,LBE
A8LZYC,12/11/2017,626,LAS,DFW
A8NE6M,12/10/2017,903,MCO,LBE
A8PVSP,12/9/2017,522,MSP,ATL
A8QJ2M,12/1/2017,507,MSP,ORD
A8RSVP,12/28/2017,508,PHL,ATL
A8TCWP,12/20/2017,663,MYR,EWR
A8TN2M,12/13/2017,613,EWR,IAH
A8UGRP,12/25/2017,663,SJO,FLL
A8WZVP,12/16/2017,658,DTW,RSW
A8ZBVS,12/3/2017,528,PIT,LAX
A93V5M,12/4/2017,645,BWI,ATL
A95Y7Z,12/14/2017,667,ACY,TPA
A9BLGM,12/29/2017,657,IAH,EWR
A9C4MM,12/3/2017,609,EWR,IAH
A9EDGM,12/3/2017,674,DTW,FLL
A9GW4Z,12/22/2017,506,LGA,ORD
A9HMHM,12/16/2017,648,BWI,DFW
A9JGFM,12/17/2017,638,DTW,BWI
A9JNQM,12/2/2017,673,ACY,RSW
A9L3JM,12/25/2017,628,MYR,LGA
A9SJ6J,12/10/2017,531,LAX,MSP
A9U9GZ,12/29/2017,649,RSW,DTW
A9V52J,12/28/2017,649,DTW,RSW
A9V57J,12/28/2017,650,MCO,PHL
A9VC2J,12/19/2017,616,CLE,LAX
AB2B5G,12/25/2017,637,BOS,ATL
AB2ZWJ,12/27/2017,651,TPA,PIT
AB3JSW,12/9/2017,614,IAH,CUN
AB3U7G,12/28/2017,601,BOG,FLL
AB6NSW,12/24/2017,630,TPA,DTW
AB6U6G,12/13/2017,650,BWI,IAH
AB8FPW,12/30/2017,517,FLL,BDL
AB8GTW,12/23/2017,618,LAX,DFW
AB9P2T,12/15/2017,619,PIT,FLL
ABBFQW,12/9/2017,613,FLL,STT
ABEL4T,12/14/2017,612,RSW,DTW
ABFK8T,12/26/2017,509,BWI,SEA
ABFPGG,12/25/2017,532,ORD,SAN
ABH5UW,12/1/2017,645,MCO,DTW
ABIKHG,12/13/2017,661,EWR,MYR
ABJ6VW,12/24/2017,532,MSY,CLE
ABJQHG,12/11/2017,660,FLL,LBE
ABKJUW,12/30/2017,681,BOS,FLL
ABKPSG,12/10/2017,675,MCO,EWR
ABKSYW,12/14/2017,616,CAK,FLL
ABPRFT,12/10/2017,602,BWI,MCO
ABQKMG,12/9/2017,645,MCO,ATL
ABR9NG,12/20/2017,902,MSP,DFW
ABRKSG,12/27/2017,681,FLL,ORD
ABS86D,12/20/2017,680,ORD,PBI
ABT6HT,12/29/2017,609,ORD,ATL
ABUGWG,12/27/2017,624,RSW,BOS
ABUHQG,12/16/2017,680,RSW,ORD
ABUK6D,12/9/2017,675,FLL,BWI
ABVMHT,12/3/2017,534,BOS,MCO
ABYQ3T,12/22/2017,628,DTW,TPA
AC2RHT,12/2/2017,502,DFW,ATL
AC3SGT,12/10/2017,517,BOS,MCO
AC478D,12/30/2017,613,LAX,CLE
AC47HT,12/30/2017,622,MSP,TPA
AC4DGT,12/5/2017,660,SJU,MCO
AC4QNT,12/11/2017,901,LGA,DFW
AC6D7D,12/28/2017,523,OAK,LAX
AC8RJT,12/16/2017,644,LGA,FLL
ACCNPT,12/25/2017,534,BOS,MSY
ACDJHD,12/23/2017,665,BOS,FLL
ACEBUT,12/12/2017,681,TPA,ACY
ACF1PT,12/24/2017,643,SJU,FLL
ACF7PT,12/27/2017,637,CLE,FLL
ACF92Q,12/1/2017,673,PBG,FLL
ACGHWT,12/25/2017,658,IAH,TPA
ACHK4Q,12/14/2017,639,ORD,LAS
ACIQQT,12/29/2017,521,RSW,LBE
ACIQQT,12/30/2017,519,RSW,LBE
ACJ2GD,12/14/2017,606,DFW,TPA
ACJBHD,12/16/2017,669,MCO,EWR
ACJU7Q,12/28/2017,648,DTW,MSY
ACRGMD,12/2/2017,607,LGA,MYR
ACTUPD,12/26/2017,644,CUN,DFW
ACUNVD,12/3/2017,603,LAS,BWI
ACWSSD,12/17/2017,623,LAS,IAH
ACWTPD,12/20/2017,604,DTW,RSW
AD1HUD,12/15/2017,667,DEN,IAH
AD3INQ,12/11/2017,660,SAP,FLL
AD3LVD,12/18/2017,615,ATL,ORD
AD3RJQ,12/14/2017,621,PHL,LAS
AD3ZVD,12/11/2017,615,BWI,LAS
AD4NKQ,12/9/2017,507,ORD,TPA
AD6HVQ,12/11/2017,667,MCO,EWR
AD7PYD,12/15/2017,680,ORD,RSW
AD7YKQ,12/29/2017,529,MCO,BDL
AD9LMQ,12/20/2017,632,TPA,BWI
ADBPUQ,12/27/2017,640,PIT,MCO
ADC8NQ,12/14/2017,522,OAK,LAX
ADCRRQ,12/29/2017,663,FLL,BWI
ADE3RQ,12/29/2017,524,MSY,ATL
ADGCSQ,12/11/2017,675,TPA,ACY
ADHQQA,12/28/2017,512,IAG,FLL
ADHYKA,12/3/2017,601,LAX,IAH
ADIHSQ,12/16/2017,618,LAS,BWI
ADJ5VQ,12/22/2017,902,BOS,TPA
ADJ6YQ,12/30/2017,611,TPA,BWI
ADKQPA,12/28/2017,515,IAH,ORD
ADL4NA,12/24/2017,679,ACY,MCO
ADRTPA,12/22/2017,629,TPA,CLE
ADSGRA,12/21/2017,678,TPA,ACY
ADUHTA,12/26/2017,664,MYR,EWR
ADY4UQ,12/20/2017,535,BWI,LAX
ADZSSD,12/26/2017,528,LAS,DFW
ADZW2N,12/23/2017,632,CLE,MCO
ADZY9A,12/29/2017,514,FLL,ATL
AE1NWA,12/11/2017,667,ACY,MCO
AE4RWA,12/15/2017,638,BWI,DTW
AE5CWA,12/18/2017,671,BOS,FLL
AE5I4K,12/3/2017,644,MSY,DTW
AE62HN,12/24/2017,677,BWI,FLL
AE6HHN,12/30/2017,681,FLL,BOS
AE83KN,12/27/2017,629,LGA,MYR
AE8BYA,12/3/2017,623,ORD,LAS
AECERN,12/26/2017,667,ACY,RSW
AECUKN,12/20/2017,609,ATL,DTW
AEDHKN,12/29/2017,903,MYR,LGA
AEEY4K,12/23/2017,630,RSW,CLE
AELMWN,12/2/2017,534,CAK,MCO
AENZ9K,12/30/2017,626,ATL,LAS
AEV22X,12/2/2017,659,EWR,FLL
AEVH3X,12/13/2017,504,BOS,MSY
AEVH3X,12/14/2017,519,BOS,MSY
AEZMJN,12/26/2017,504,CLE,MSY
AF23FK,12/25/2017,638,DFW,ORD
AF28FX,12/13/2017,643,MCO,DFW
AF5QMK,12/19/2017,628,MSP,RSW
AF6ZMK,12/26/2017,651,MCO,PHL
AF7I9X,12/16/2017,638,DTW,LAS
AF89QK,12/27/2017,630,MCO,BOS
AF998H,12/9/2017,635,DFW,PHL
AF9T8X,12/29/2017,503,BWI,BOS
AFBKRK,12/2/2017,657,ATL,IAH
AFBWQK,12/29/2017,644,MSP,DFW
AFEHNK,12/15/2017,606,BDL,TPA
AFELRK,12/19/2017,635,TPA,BWI
AFELRK,12/27/2017,605,BWI,TPA
AFEYQK,12/2/2017,629,TPA,ATL
AFGF3H,12/28/2017,524,BDL,MCO
AFHZ2H,12/15/2017,614,LAX,MCI
AFHZ5H,12/1/2017,637,MSP,MCO
AFIG6H,12/2/2017,507,BWI,SAN
AFJBMX,12/9/2017,677,MCO,ACY
AFKKKX,12/11/2017,671,FLL,SJO
AFKU4H,12/26/2017,609,MCO,BWI
AFM7YK,12/13/2017,645,LAS,DFW
AFMB9H,12/14/2017,524,LAS,MSP
AFNBJX,12/28/2017,904,DFW,LAS
AFNWKX,12/14/2017,643,MSP,LAS
AFPLWX,12/15/2017,649,PHL,DFW
AFQ7KH,12/9/2017,515,FLL,DFW
AFQ7KH,12/10/2017,660,FLL,DFW
AFT7RX,12/10/2017,646,MCO,ATL
AFTUWX,12/13/2017,632,LAS,ATL
AFU3FH,12/3/2017,640,PBI,ORD
AFWV5U,12/22/2017,612,PIT,FLL
AFZM7X,12/27/2017,631,BWI,LAS
AG112U,12/16/2017,624,DTW,LAS
AG1D4U,12/8/2017,641,BDL,TPA
AG1JTX,12/10/2017,639,DTW,DEN
AG2KFH,12/17/2017,681,FLL,DEN
AG4C8U,12/15/2017,617,FLL,LGA
AG4DHH,12/22/2017,536,FLL,GUA
AG53NH,12/25/2017,525,EWR,MSY
AG5LJH,12/16/2017,648,LAX,IAH
AG5UXX,12/25/2017,528,DTW,RSW
AG5W9U,12/15/2017,671,MYR,EWR
AG7KYX,12/18/2017,639,LAS,MSP
AGC84E,12/10/2017,902,TPA,CLE
AGHQTH,12/2/2017,671,FLL,ATL
AGJF7E,12/19/2017,680,ORD,DFW
AGJWVH,12/25/2017,674,DTW,FLL
AGKPVH,12/19/2017,602,LAS,PHL
AH3K6R,12/29/2017,673,FLL,DTW
AH6MJE,12/16/2017,679,MGA,FLL
AH798R,12/26/2017,530,ORD,LGA
AH8B5B,12/16/2017,617,FLL,LBE
AHBUUE,12/15/2017,901,PIT,TPA
AHCJTE,12/21/2017,642,DTW,RSW
AHDVSE,12/21/2017,607,LGA,FLL
AHE8UE,12/2/2017,639,LAX,CLE
AHEZ3B,12/3/2017,641,CUN,DFW
AHFZUE,12/21/2017,504,SAN,BWI
AHG3RE,12/15/2017,629,DTW,ATL
AHGBYE,12/3/2017,639,RSW,CLE
AHH5UE,12/23/2017,521,MSY,BWI
AHITPE,12/15/2017,647,LAX,IAH
AHIU8B,12/10/2017,676,LGA,FLL
AHJUUE,12/28/2017,652,PIT,RSW
AHMCHR,12/22/2017,611,CLE,RSW
AHMI6B,12/17/2017,609,DTW,DEN
AHMR8B,12/26/2017,607,MCO,SJU
AHN1MR,12/15/2017,528,OAK,LAX
AHNBYE,12/24/2017,606,CLE,FLL
AHPPMR,12/13/2017,536,MCO,ORD
AHPQNR,12/13/2017,665,FLL,SJO
AHY9NE,12/20/2017,613,CLE,LAS
AI1JGB,12/8/2017,650,FLL,PBG
AI1KFB,12/17/2017,602,FLL,LGA
AI3SVR,12/17/2017,667,DEN,IAH
AIB1NB,12/19/2017,606,LAS,EWR
AIBKNB,12/10/2017,676,LGA,FLL
AIBPTB,12/18/2017,903,PHX,MSP
AIBPTB,12/19/2017,641,PHX,MSP
AIDRPB,12/7/2017,664,BOS,FLL
AIEJPB,12/10/2017,602,LAS,MSP
AIFGTB,12/14/2017,642,ACY,MYR
AIKCUB,12/26/2017,673,DTW,ATL
AILZUB,12/31/2017,527,ORD,MSY
AIYEJB,12/23/2017,640,RSW,ORD
AIZ8WR,12/3/2017,663,FLL,EWR
AJ1S2L,12/1/2017,629,PIT,LAS
AY25XM,12/13/2017,632,OAK,LAS
AY2NPZ,12/18/2017,681,EWR,FLL
AY34MZ,12/29/2017,530,ORD,MCO
AY3M8J,12/4/2017,507,EWR,MSY
AY469J,12/16/2017,536,LGA,ORD
AY4QJZ,12/16/2017,505,DFW,DTW
AY6YMZ,12/29/2017,619,DFW,MCO
AY9ZFJ,12/9/2017,668,DEN,IAH
AYCUFJ,12/18/2017,674,FLL,EWR
AYCUFJ,12/19/2017,662,FLL,EWR
AYERWZ,12/9/2017,530,RSW,DTW
AYEUMJ,12/22/2017,671,CUN,DTW
AYFLFJ,12/18/2017,611,MSP,RSW
AYJDMJ,12/17/2017,647,LAX,DTW
AYJMMJ,12/31/2017,631,RSW,BOS
AYKDJW,12/13/2017,632,LAS,ATL
AYKYWJ,12/7/2017,677,MCO,ACY
AYLTWZ,12/18/2017,506,BOS,LAS
AYM9KJ,12/1/2017,631,MSP,DFW
AYMMHJ,12/28/2017,615,TPA,BDL
AYVV5G,12/17/2017,611,ORD,RSW
AYZ1YM,12/16/2017,609,LAS,DTW
B4LJ6L,12/30/2017,622,PIT,MCO
B4MN8L,12/16/2017,601,TPA,ATL
B4PH7L,12/18/2017,632,LAX,DFW
B4TIHL,12/25/2017,644,MCO,DFW
B4V42Y,12/1/2017,667,ATL,IAH
B4VI8Y,12/15/2017,601,LAX,DTW
B51EGL,12/9/2017,669,DEN,FLL
B51WHL,12/10/2017,643,ORD,ATL
B54EHL,12/19/2017,646,ORD,MCO
B57RJL,12/11/2017,615,BWI,LAS
B581ML,12/11/2017,643,BWI,ATL
B596NL,12/24/2017,521,LAX,PIT
B5C5PL,12/20/2017,628,MSP,TPA
B5CMRL,12/12/2017,516,PHX,ORD
B5GJWL,12/31/2017,620,MCO,DFW
B5GVVL,12/28/2017,611,LAX,DFW
B5J9UL,12/23/2017,614,ATL,ORD
B5KGKY,12/25/2017,650,PIT,TPA
B5LIKY,12/10/2017,902,TPA,CLE
B5MCHY,12/23/2017,535,FLL,IAH
B5MUPY,12/22/2017,657,IAH,MCO
B5R4TY,12/23/2017,648,LGA,FLL
B5SRQY,12/11/2017,607,CUN,IAH
B5WGYL,12/17/2017,608,DTW,ATL
B5WUPY,12/16/2017,901,MCO,LBE
B5ZKHL,12/20/2017,663,EWR,MYR
B6185V,12/19/2017,613,LAS,ATL
B664HV,12/17/2017,614,RSW,CLE
B693NI,12/27/2017,641,LAX,LAS
B69YPI,12/10/2017,669,FLL,BOS
B6D3UI,12/18/2017,636,ORD,DFW
B6DKQI,12/29/2017,619,MCO,PHL
B6DLQI,12/15/2017,903,LAS,DFW
B6FB3F,12/29/2017,903,LGA,MYR
B6FSTI,12/15/2017,629,DTW,LAS
B6HPSV,12/1/2017,657,TPA,IAH
B6J2HV,12/19/2017,618,RSW,BDL
B6JNXV,12/10/2017,605,TPA,BWI
B6JSFV,12/17/2017,679,MCO,EWR
B6KUNV,12/28/2017,678,SEA,LAS
B6MYJV,12/26/2017,522,LAX,PHL
B6MYJV,12/31/2017,535,LAX,PHL
B6R8MF,12/9/2017,658,FLL,LGA
B6RSTV,12/21/2017,628,FLL,CAK
B6SZKV,12/23/2017,622,BOS,RSW
B6TV2S,12/22/2017,521,FLL,TPA
B6UC4S,12/28/2017,507,SEA,BWI
B6V7GF,12/11/2017,508,ATL,FLL
B6ZIQY,12/24/2017,524,BDL,MCO
B6ZIQY,12/25/2017,514,BDL,MCO
B6ZIQY,12/25/2017,530,BDL,MCO
B71B4S,12/14/2017,524,LAS,MSP
B71H5S,12/1/2017,636,DTW,TPA
B7344S,12/8/2017,635,IAG,FLL
B74I7S,12/3/2017,502,BOS,MCO
B75C7S,12/18/2017,525,DFW,LGA
B7BPQF,12/11/2017,516,LGA,ORD
B7EESF,12/12/2017,647,MCO,CLE
B7GZ3C,12/17/2017,526,TPA,LBE
B7GZFS,12/9/2017,532,ORD,SAN
B7H4YF,12/25/2017,601,CLE,ATL
B7H6TF,12/25/2017,534,BOS,MSY
B7HDFS,12/15/2017,608,BWI,DFW
B7ISVF,12/23/2017,522,TPA,MSY
B7JDXF,12/22/2017,615,FLL,CTG
B7JKWF,12/30/2017,525,DTW,MCO
B7KZJS,12/2/2017,607,LGA,MYR
B7LKJS,12/3/2017,519,MSY,TPA
B7LTKS,12/19/2017,673,DTW,MCO
B7NR6C,12/9/2017,611,MCO,PHL
B7NZRS,12/24/2017,601,MSP,LAS
B7NZRS,12/28/2017,504,LAS,MSP
B7V3VS,12/11/2017,606,MCO,BWI
B7W29C,12/27/2017,533,MSY,MCO
B82B6P,12/15/2017,671,MYR,EWR
B82CFC,12/15/2017,608,BWI,DFW
B82FGC,12/28/2017,901,DTW,RSW
B83D7P,12/28/2017,670,BOS,FLL
B84GKC,12/18/2017,903,MSP,DFW
B84Q3P,12/14/2017,532,ACY,FLL
B84TJC,12/12/2017,625,MCI,LAS
B853QC,12/29/2017,649,DTW,MSY
B8586P,12/14/2017,624,DTW,TPA
B85C7P,12/3/2017,632,ATL,LAS
B85CHC,12/25/2017,645,LAS,PIT
B85NGC,12/24/2017,503,MSY,LAS
B86NGC,12/17/2017,622,LAS,DTW
B86Q9P,12/14/2017,636,MCO,DFW
B87BHC,12/14/2017,535,FLL,KIN
B87R8P,12/18/2017,636,IAH,LAX
B8BQNC,12/21/2017,533,FLL,DEN
B8FWRP,12/3/2017,648,FLL,IAG
B8G7TC,12/11/2017,515,FLL,LAX
B8J8UC,12/28/2017,659,EWR,MCO
B8JLRP,12/19/2017,649,CLE,FLL
B8LWXC,12/10/2017,631,RSW,DTW
B8NFMP,12/23/2017,616,DTW,MSY
B8QSMP,12/20/2017,658,LAS,DFW
B8QV7M,12/10/2017,675,ACY,MCO
B8SNNP,12/15/2017,626,ORD,TPA
B8SSSP,12/13/2017,640,PHL,MCO
B8T6SP,12/24/2017,630,TPA,BWI
B8T75M,12/13/2017,673,ORD,FLL
B8UB3M,12/3/2017,676,ACY,MCO
B8VCQP,12/16/2017,677,TPA,ACY
B8VK4M,12/3/2017,622,DTW,ATL
B8Z7MC,12/1/2017,504,CAK,RSW
B8ZUGC,12/11/2017,531,PHX,ORD
B8ZYRS,12/27/2017,629,PBG,FLL
B9118M,12/18/2017,533,FLL,IAH
B92F6M,12/24/2017,651,MCO,BOS
B939YP,12/9/2017,601,IAH,MCO
B93QTP,12/12/2017,609,DTW,LAX
B96H7M,12/17/2017,635,MCI,LAX
B9H36Z,12/18/2017,644,MSY,DTW
B9J88Z,12/17/2017,663,LAX,ORD
B9LC6Z,12/25/2017,523,MCO,BDL
B9R9PM,12/28/2017,658,ACY,TPA
B9RHQM,12/24/2017,642,BWI,LAS
B9T8RM,12/3/2017,523,MCO,CAK
B9TR2J,12/25/2017,658,MCO,IAH
B9UGQM,12/3/2017,644,DTW,TPA
B9Y28M,12/17/2017,515,SAN,BWI
BB1G3G,12/25/2017,603,DTW,LAS
BB1TSJ,12/2/2017,516,BOS,MCO
BB2C8G,12/30/2017,681,FLL,BOS
BB3B9G,12/29/2017,669,ACY,PBI
BB3P5G,12/24/2017,661,EWR,MCO
BB4URJ,12/30/2017,674,EWR,MCO
BB6FNW,12/27/2017,901,DTW,BWI
BB76HW,12/11/2017,657,IAH,ATL
BB7B7G,12/25/2017,606,PTY,FLL
BB86WJ,12/17/2017,673,BOS,FLL
BB91QW,12/14/2017,606,TPA,BDL
BB91QW,12/15/2017,636,TPA,BDL
BBF23T,12/16/2017,663,ACY,MCO
BBFGWW,12/15/2017,530,RSW,CAK
BBGCHG,12/22/2017,633,TPA,ORD
BBGS3T,12/17/2017,629,PDX,LAS
BBH1RW,12/11/2017,643,CLE,ATL
BBK6YW,12/9/2017,904,BDL,TPA
BBKI6T,12/28/2017,616,DTW,TPA
BBKPGG,12/6/2017,533,LAX,PIT
BBNEYW,12/9/2017,519,MSY,BWI
BBPQPG,12/16/2017,532,RSW,DTW
BBV4QG,12/24/2017,602,LAS,DFW
BBYLNW,12/2/2017,614,LAX,MCI
BBYVPW,12/9/2017,642,FLL,BOG
BBYVPW,12/11/2017,622,FLL,BOG
BBZMRJ,12/14/2017,646,PDX,LAS
BBZUGW,12/24/2017,658,IAH,EWR
BC2K3D,12/26/2017,536,MCO,CAK
BC3RRT,12/4/2017,611,ORD,TPA
BC4H8D,12/25/2017,622,PIT,RSW
BC4IVG,12/22/2017,673,TPA,IAH
BC4IVG,12/23/2017,657,TPA,IAH
BC5JFT,12/13/2017,637,MCI,MCO
BC6NWG,12/19/2017,641,PHX,MSP
BC8IHT,12/19/2017,534,PIT,LAX
BCDE4Q,12/22/2017,626,BOS,RSW
BCEMXT,12/22/2017,616,PTY,FLL
BCEUST,12/30/2017,527,SAN,ORD
BCHSYT,12/16/2017,665,DTW,MCO
BCJDFD,12/18/2017,662,LGA,FLL
BCK9UT,12/3/2017,665,ORD,TPA
BCKJ7Q,12/11/2017,646,OAK,LAS
BCKPUT,12/22/2017,669,LAX,ORD
BCKQ7Q,12/29/2017,632,LAS,EWR
BCNH8Q,12/11/2017,504,MSY,ATL
BCPN8A,12/14/2017,663,ACY,FLL
BCR8TD,12/18/2017,649,FLL,LBE
BCRCGQ,12/27/2017,637,CLE,FLL
BCT6QD,12/4/2017,529,PHL,ATL
BCTFHQ,12/20/2017,601,CLE,RSW
BCYTNT,12/2/2017,669,MCO,EWR
BD2IUD,12/11/2017,618,IAH,EWR
BD422N,12/30/2017,670,ORD,LAX
BD4KTD,12/24/2017,658,IAH,EWR
BD5U8A,12/24/2017,679,MCO,EWR
BD93WD,12/16/2017,622,LAS,MCI
BD9PJQ,12/15/2017,505,DTW,DFW
BD9QPQ,12/10/2017,626,PHX,MSP
BDCKQQ,12/13/2017,631,BWI,LAS
BDCW2N,12/27/2017,601,FLL,PHL
BDD66N,12/27/2017,672,FLL,MGA
BDD9QQ,12/19/2017,601,BWI,IAH
BDFFNQ,12/15/2017,531,MSY,LAX
BDG66N,12/10/2017,640,MCI,LAX
BDH89N,12/10/2017,633,TPA,BDL
BDIM3N,12/19/2017,635,TPA,DTW
BDIM4N,12/3/2017,517,CAK,TPA
BDIQ9N,12/25/2017,510,MSP,LAS
BDKNHA,12/3/2017,659,LGA,FLL
BDLJ5N,12/24/2017,603,DEN,DTW
BDM5HA,12/28/2017,643,MCO,DTW
BDMTFA,12/18/2017,642,MCO,PIT
BDNTWQ,12/18/2017,641,CLE,LAX
BDNZHA,12/23/2017,613,LAX,ORD
BDPW7N,12/18/2017,615,TPA,ATL
BDQYPA,12/19/2017,521,PHX,ORD
BDRNSA,12/22/2017,660,ACY,RSW
BDTBWA,12/12/2017,622,MCO,EWR
BDUFJN,12/13/2017,640,PIT,LAS
BDY2JQ,12/15/2017,632,MCO,ATL
BE33RA,12/21/2017,507,BWI,SEA
BE37TA,12/18/2017,525,DFW,LGA
BE3RHN,12/2/2017,534,RSW,CAK
BE4JKN,12/18/2017,517,FLL,LAX
BE5LRA,12/14/2017,508,FLL,ATL
BE72YA,12/26/2017,645,MSP,TPA
BE7KWA,12/14/2017,612,TPA,DTW
BE8FYA,12/23/2017,676,FLL,SDQ
BE9FJN,12/18/2017,505,LAS,MSP
BEBIRN,12/3/2017,650,LAS,MCI
BEBLPN,12/23/2017,625,MCO,ATL
BEDENN,12/9/2017,612,TPA,ORD
BEDMRN,12/24/2017,634,BDL,TPA
BEDSSN,12/14/2017,642,FLL,LGA
BEFJTN,12/24/2017,630,DTW,LAX
BEGCVN,12/2/2017,525,STT,FLL
BEHLRN,12/29/2017,612,MCO,ATL
BEI3QN,12/23/2017,674,RSW,ACY
BENGXN,12/16/2017,676,IAH,MCO
BENKYN,12/19/2017,672,ATL,IAH
BENQ8K,12/21/2017,670,DTW,ATL
BEZ9UA,12/31/2017,905,DTW,MCO
BF5EKK,12/10/2017,676,FLL,DEN
BF5M5X,12/11/2017,606,MCO,DFW
BFCVNK,12/24/2017,612,CLE,ATL
